cusip;permno;permco;issuno;hexcd;hsiccd;date;bidlo;askhi;prc;vol;ret;bid;ask;shrout;cfacpr;cfacshr;altprc;spread;altprcdt;retx;gvkey;linkprim;liid;linktype;lpermno;lpermco;linkdt;linkenddt;gvkey..30;iid;gvkeyx;from;thru
43851610;10145;22168;0;1;5099;1972-01-31;28.75;32.125;32.125;3026;0.103004291653633;;;27556;7.018879;6;32.125;;1972-01-31;0.103004291653633;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-02-29;29.25;32.125;30;2716;-0.056809339672327;;;27556;7.018879;6;30;;1972-02-29;-0.0661478564143181;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-03-30;28.125;31;30.875;4402;0.029166666790843;;;27556;7.018879;6;30.875;;1972-03-30;0.029166666790843;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-04-28;30.375;36.625;33.5;9069;0.0850202441215515;;;27556;7.018879;6;33.5;;1972-04-28;0.0850202441215515;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-05-31;30.625;33.25;30.625;5424;-0.0768656730651855;;;27556;7.018879;6;30.625;;1972-05-31;-0.0858208984136581;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-06-30;29;31.375;29.5;4639;-0.0367346927523613;;;27556;7.018879;6;29.5;;1972-06-30;-0.0367346927523613;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-07-31;27.125;30.125;27.75;3477;-0.0593220330774784;;;27556;7.018879;6;27.75;;1972-07-31;-0.0593220330774784;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-08-31;27.75;30.625;29.5;3781;0.0738738775253296;;;27556;7.018879;6;29.5;;1972-08-31;0.0630630627274513;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-09-29;27.875;30.125;28.5;2105;-0.0338983051478863;;;27556;7.018879;6;28.5;;1972-09-29;-0.0338983051478863;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
43851610;10145;22168;0;1;5099;1972-10-31;26.375;28.625;28;4228;-0.0175438597798348;;;27556;7.018879;6;28;;1972-10-31;-0.0175438597798348;001300;P;01;LC;10145;22168;1962-01-31;;001300;01;000005;1925-12-07;2008-02-18
